Report_Date,Pakistan_cases,PAK-AJK_cases,PAK-Balochistan_cases,PAK-KPK_cases,PAK-GB_cases,PAK-Sindh_cases,PAK-Punjab_cases,PAK-ICT_cases
1/22/20,0,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0,0,0
2/2/20,0,0,0,0,0,0,0,0
2/3/20,0,0,0,0,0,0,0,0
2/4/20,0,0,0,0,0,0,0,0
2/5/20,0,0,0,0,0,0,0,0
2/6/20,0,0,0,0,0,0,0,0
2/7/20,0,0,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0,0,0
2/9/20,0,0,0,0,0,0,0,0
2/10/20,0,0,0,0,0,0,0,0
2/11/20,0,0,0,0,0,0,0,0
2/12/20,0,0,0,0,0,0,0,0
2/13/20,0,0,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0,0,0
2/21/20,0,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0,0,0
2/25/20,0,0,0,0,0,0,0,0
2/26/20,2,0,0,0,0,0,0,0
2/27/20,2,0,0,0,0,0,0,0
2/28/20,2,0,0,0,0,0,0,0
2/29/20,4,0,0,0,0,0,0,0
3/1/20,4,0,0,0,0,0,0,0
3/2/20,4,0,0,0,0,0,0,0
3/3/20,5,0,0,0,0,0,0,0
3/4/20,5,0,0,0,0,0,0,0
3/5/20,5,0,0,0,0,0,0,0
3/6/20,6,0,0,0,0,0,0,0
3/7/20,6,0,0,0,0,0,0,0
3/8/20,6,0,0,0,0,0,0,0
3/9/20,6,0,0,0,0,0,0,0
3/10/20,16,0,1,0,2,14,0,2
3/11/20,19,0,1,0,3,14,0,2
3/12/20,20,0,1,0,3,15,0,2
3/13/20,28,0,6,0,3,16,0,3
3/14/20,31,0,6,0,3,18,0,4
3/15/20,53,0,11,0,3,34,1,4
3/16/20,136,0,14,15,3,150,1,4
3/17/20,236,0,15,17,3,172,26,5
3/18/20,299,1,23,19,13,208,33,5
3/19/20,454,1,81,23,21,238,83,10
3/20/20,501,1,103,27,30,259,104,10
3/21/20,730,1,104,31,55,292,152,11
3/22/20,776,1,108,31,71,352,225,15
3/23/20,875,1,110,38,80,399,249,15
3/24/20,972,1,115,78,81,413,296,16
3/25/20,1063,1,131,121,84,417,323,25
3/26/20,1201,2,131,147,91,429,408,27
3/27/20,1373,2,133,180,107,457,490,36
3/28/20,1495,2,138,188,116,481,558,43
3/29/20,1597,6,144,195,128,508,593,51
3/30/20,1717,6,153,221,148,627,652,54
3/31/20,1938,6,158,253,184,676,708,54
4/1/20,2118,9,169,274,187,743,845,62
4/2/20,2421,9,169,311,190,783,920,68
4/3/20,2686,11,175,343,193,839,1072,75
4/4/20,2818,12,185,372,206,864,1163,78
4/5/20,3157,15,191,415,210,881,1493,82
4/6/20,3864,18,202,500,211,932,1918,83
4/7/20,4004,18,202,500,211,986,2004,83